class,uniprot_id,description,len,dataset
positive,A0A328VIA9,A0A328VIA9_9CHLR Beta-glucosidase OS=Thermogemmatispora tikiterensis OX=1825093 GN=A4R35_16735 PE=3 SV=1,452,train
positive,A0A496QEY7,A0A496QEY7_9BACT Glycoside hydrolase family 1 protein (Fragment) OS=Thermotogota bacterium OX=2053689 GN=DRP32_02865 PE=3 SV=1,222,train
positive,A3DFD0,A3DFD0_ACET2 Beta-glucosidase OS=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=Cthe_1428 PE=3 SV=1,442,train
negative,A0A2V4EA45,A0A2V4EA45_9GAMM beta-glucosidase OS=Gilliamella apicola OX=1196095 GN=DKK70_04720 PE=4 SV=1,653,train
positive,A0A2W4JRE2,A0A2W4JRE2_9PSEU Beta-glucosidase OS=Thermocrispum agreste OX=37925 GN=DIU77_02160 PE=3 SV=1,496,train
negative,V9XQW2,V9XQW2_BACIU Beta-glucosidase (Fragment) OS=Bacillus subtilis OX=1423 PE=3 SV=1,413,train
positive,A0A2K4ZPS3,A0A2K4ZPS3_9FIRM Thermostable beta-glucosidase B OS=Acetatifactor muris OX=879566 GN=bglB PE=3 SV=1,682,train
negative,A0A0Q5L9H0,A0A0Q5L9H0_9MICO beta-glucosidase OS=Microbacterium sp. Leaf159 OX=1736279 GN=ASF80_08050 PE=4 SV=1,744,train
negative,A0A1J3I3I3,A0A1J3I3I3_NOCCA beta-glucosidase (Fragment) OS=Noccaea caerulescens OX=107243 GN=LE_TR19393_c0_g1_i1_g.62047 PE=3 SV=1,526,train
positive,A0A1V5PMJ0,A0A1V5PMJ0_9CHLR Thermostable beta-glucosidase B OS=Chloroflexi bacterium ADurb.Bin360 OX=1852861 GN=bglB_2 PE=3 SV=1,799,train
positive,D3T5Z4,D3T5Z4_THEIA beta-glucosidase OS=Thermoanaerobacter italicus (strain DSM 9252 / Ab9) OX=580331 GN=Thit_0198 PE=4 SV=1,787,train
positive,A0A1H1HS51,A0A1H1HS51_9ACTN beta-glucosidase OS=Thermostaphylospora chromogena OX=35622 GN=SAMN04489764_4764 PE=3 SV=1,759,train
negative,A0A2P2GUQ1,A0A2P2GUQ1_9ACTN Beta-glucosidase OS=Streptomyces showdoensis OX=68268 GN=VO63_03615 PE=3 SV=1,456,train
positive,A0A399EIP9,A0A399EIP9_9DEIN Beta-glucosidase B OS=Calidithermus roseus OX=1644118 GN=bglB_2 PE=3 SV=1,219,train
positive,A0A662GAC4,A0A662GAC4_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRJ43_03850 PE=3 SV=1,708,train
positive,A0A3B0UGT0,A0A3B0UGT0_9ZZZZ Beta-glucosidase OS=hydrothermal vent metagenome OX=652676 GN=MNBD_BACTEROID01-2184 PE=4 SV=1,741,train
positive,A0A498PPK9,A0A498PPK9_9MYCO Thermostable beta-glucosidase B OS=Mycobacterium attenuatum OX=2341086 GN=bglB PE=3 SV=1,705,train
negative,A0A248JXX4,A0A248JXX4_9PROT beta-glucosidase OS=Nitrospirillum viridazoti CBAmc OX=1441467 GN=Y958_17255 PE=4 SV=1,657,train
negative,A0A0L0ARZ4,A0A0L0ARZ4_9ENTR beta-glucosidase OS=Klebsiella sp. RIT-PI-d OX=1681196 GN=AC791_15070 PE=3 SV=1,765,train
negative,A0A7J9ZTS3,A0A7J9ZTS3_9ACTN beta-glucosidase OS=Streptosporangiales bacterium OX=2604148 GN=GEV11_23050 PE=4 SV=1,767,train
positive,A0A0F0LZE4,A0A0F0LZE4_9MICO Thermostable beta-glucosidase B OS=Microbacterium azadirachtae OX=582680 GN=bglB_1 PE=3 SV=1,755,train
positive,A0A2S2CWS0,A0A2S2CWS0_9PROT Beta-glucosidase OS=Azospirillum thermophilum OX=2202148 GN=DEW08_23360 PE=3 SV=1,483,train
positive,A0A3B1CB13,A0A3B1CB13_9ZZZZ Beta-glucosidase OS=hydrothermal vent metagenome OX=652676 GN=MNBD_IGNAVI01-3130 PE=3 SV=1,252,train
positive,A0A2M8QA50,A0A2M8QA50_9CHLR beta-glucosidase OS=Candidatus Thermofonsia Clade 3 bacterium OX=2364212 GN=CUN48_12540 PE=4 SV=1,760,train
positive,A0A2X0VQ27,A0A2X0VQ27_9ACTO Thermostable beta-glucosidase B OS=Schaalia odontolytica OX=1660 GN=bglB_2 PE=3 SV=1,306,train
negative,A0A1Y2UGU4,A0A1Y2UGU4_9PEZI beta-glucosidase OS=Hypoxylon sp. CO27-5 OX=1001938 GN=M434DRAFT_85191 PE=3 SV=1,777,train
positive,A0A832M0S6,A0A832M0S6_9CREN beta-glucosidase (Fragment) OS=Thermofilum sp OX=1961369 GN=ENV13_04600 PE=3 SV=1,359,train
positive,A0A3A4A6P1,A0A3A4A6P1_9ACTN beta-glucosidase OS=Bailinhaonella thermotolerans OX=1070861 GN=D5H75_30830 PE=4 SV=1,584,train
positive,A0A1D3DMH6,A0A1D3DMH6_9ACTN Beta-glucosidase OS=Streptomyces thermolilacinus SPC6 OX=1306406 GN=J116_002715 PE=3 SV=1,466,train
negative,A0A2V7NK27,A0A2V7NK27_UNCGE beta-glucosidase (Fragment) OS=Gemmatimonadota bacterium OX=2026742 GN=DMD55_12295 PE=3 SV=1,632,train
negative,A0A1H5B4B9,A0A1H5B4B9_9ACTN Beta-glucosidase OS=Streptomyces sp. PAN_FS17 OX=1855351 GN=SAMN05216482_7660 PE=3 SV=1,454,train
negative,A0A0N0V726,A0A0N0V726_FUSLA beta-glucosidase OS=Fusarium langsethiae OX=179993 GN=FLAG1_05033 PE=3 SV=1,600,train
positive,Q8GEB4,Q8GEB4_THETH Beta-glucosidase OS=Thermus thermophilus OX=274 PE=3 SV=1,431,train
negative,A0A846RQK1,A0A846RQK1_9MICC Beta-glucosidase OS=Arthrobacter pigmenti OX=271432 GN=BJ994_002435 PE=3 SV=1,472,train
negative,A0A4Q2JRD9,A0A4Q2JRD9_9MICO Beta-glucosidase OS=Agromyces fucosus OX=41985 GN=ESP57_03525 PE=3 SV=1,482,train
positive,A0A143HS59,A0A143HS59_9GAMM beta-glucosidase OS=Microbulbifer thermotolerans OX=252514 GN=A3224_13210 PE=4 SV=1,766,train
negative,X0AC99,X0AC99_FUSOX beta-glucosidase OS=Fusarium oxysporum f. sp. melonis 26406 OX=1089452 GN=FOMG_13583 PE=3 SV=1,599,train
negative,A0A2S5CAR1,A0A2S5CAR1_9ENTR beta-glucosidase OS=Lelliottia sp. 7254-16 OX=2080842 GN=C3708_06985 PE=4 SV=1,791,train
negative,A0A6N9Q7R1,A0A6N9Q7R1_9BACL beta-glucosidase OS=Chengkuizengella marina OX=2507566 GN=ERL59_18500 PE=4 SV=1,709,train
negative,A0A1T5JZL6,A0A1T5JZL6_9FIRM Beta-glucosidase OS=Maledivibacter halophilus OX=36842 GN=SAMN02194393_01504 PE=3 SV=1,472,train
positive,A0A1C5UJW6,A0A1C5UJW6_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_3 PE=3 SV=1,339,train
positive,A0A662J9L4,A0A662J9L4_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRJ66_05790 PE=3 SV=1,730,train
positive,B9L147,B9L147_THERP Beta-glucosidase OS=Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2) OX=309801 GN=trd_1758 PE=3 SV=1,452,train
negative,A0A6P5Z0L3,A0A6P5Z0L3_DURZI Beta-glucosidase OS=Durio zibethinus OX=66656 GN=LOC111296343 PE=3 SV=1,496,train
negative,A0A2M8G700,A0A2M8G700_UNCKA Glycoside hydrolase family 1 protein OS=candidate division WWE3 bacterium CG_4_8_14_3_um_filter_42_11 OX=1975076 GN=CO015_02620 PE=3 SV=1,418,train
negative,A0A249KTS2,A0A249KTS2_9ACTN Beta-glucosidase OS=Candidatus Planktophila vernalis OX=1884907 GN=A7sIIA15_04740 PE=3 SV=1,458,train
negative,A0A7U5YAY9,A0A7U5YAY9_AERCA beta-glucosidase OS=Aeromonas caviae OX=648 GN=C1C91_19710 PE=4 SV=1,678,train
negative,A0A3Q9WQT8,A0A3Q9WQT8_9MICC Beta-glucosidase OS=Arthrobacter sp. MN05-02 OX=1571833 GN=MN0502_27540 PE=3 SV=1,489,train
positive,A0A662I058,A0A662I058_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRJ55_03970 PE=4 SV=1,737,train
negative,A0A7W4YJN1,A0A7W4YJN1_LEIAQ Beta-glucosidase OS=Leifsonia aquatica OX=144185 GN=FHX33_003041 PE=3 SV=1,390,train
positive,A0A498PZP9,A0A498PZP9_9MYCO Thermostable beta-glucosidase B OS=Mycobacterium innocens OX=2341083 GN=bglB_2 PE=3 SV=1,755,train
negative,A0A4Q6GXC7,A0A4Q6GXC7_9GAMM Glycosyl hydrolase family protein (Fragment) OS=Lysobacteraceae bacterium OX=1926873 GN=EOP92_06255 PE=3 SV=1,368,train
negative,A0A1V6TJU1,A0A1V6TJU1_9EURO Probable beta-glucosidase btgE OS=Penicillium steckii OX=303698 GN=PENSTE_c005G01342 PE=4 SV=1,578,train
negative,D2C2C8,D2C2C8_DICZ5 beta-glucosidase OS=Dickeya zeae (strain Ech586) OX=590409 GN=Dd586_2443 PE=3 SV=1,771,train
positive,L0EHU9,L0EHU9_THECK Beta-glucosidase OS=Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4) OX=717605 GN=Theco_3306 PE=3 SV=1,450,train
negative,A0A3E1BEN1,A0A3E1BEN1_RHILT Beta-glucosidase OS=Rhizobium leguminosarum bv. trifolii OX=386 GN=B5K10_20005 PE=3 SV=1,457,train
positive,A0A328VAS3,A0A328VAS3_9CHLR Beta-glucosidase OS=Thermogemmatispora tikiterensis OX=1825093 GN=A4R35_04110 PE=3 SV=1,466,train
positive,A0A199XNF5,A0A199XNF5_9FLAO Thermostable beta-glucosidase B OS=Flavobacterium succinicans OX=29536 GN=bglB PE=3 SV=1,776,train
positive,A0A397HHM1,A0A397HHM1_ASPTH Probable beta-glucosidase L OS=Aspergillus thermomutatus OX=41047 GN=CDV56_104840 PE=3 SV=1,739,train
positive,A0A6N2VX12,A0A6N2VX12_BACUN Thermostable beta-glucosidase B OS=Bacteroides uniformis OX=820 GN=bglB_2 PE=3 SV=1,741,train
negative,A0A7J5UYG9,A0A7J5UYG9_UNCBA beta-glucosidase OS=Bacteroidota bacterium OX=1898104 GN=FD155_2476 PE=4 SV=1,748,train
negative,A0A5C8YAN8,A0A5C8YAN8_PSEME beta-glucosidase OS=Pseudomonas mendocina OX=300 GN=bglX PE=4 SV=1,768,train
positive,A0A1C6FWD9,A0A1C6FWD9_9FIRM Thermostable beta-glucosidase B OS=uncultured Anaerotruncus sp OX=905011 GN=bglB PE=3 SV=1,777,train
negative,A0A7S2Y708,A0A7S2Y708_9STRA beta-glucosidase (Fragment) OS=Amphiprora paludosa OX=265537 GN=APAL1065_LOCUS7785 PE=4 SV=1,238,train
negative,A0A0J0Y754,A0A0J0Y754_9SPHI Beta-glucosidase OS=Pedobacter sp. BMA OX=1663685 GN=AB669_07770 PE=3 SV=1,445,train
positive,A0A6I6DW70,A0A6I6DW70_THETI Beta-glucosidase OS=Thermochromatium tepidum ATCC 43061 OX=316276 GN=E6P07_01150 PE=3 SV=1,474,train
negative,A0A8B4TX03,A0A8B4TX03_9ENTR beta-glucosidase OS=Klebsiella quasivariicola OX=2026240 GN=bglX PE=3 SV=1,765,train
negative,A0A4R7MNE1,A0A4R7MNE1_9ACTN beta-glucosidase OS=Streptomyces sp. 846.5 OX=2485156 GN=EDD99_1816 PE=3 SV=1,797,train
positive,D1CGH4,D1CGH4_THET1 Beta-glucosidase OS=Thermobaculum terrenum (strain ATCC BAA-798 / CCMEE 7001 / YNP1) OX=525904 GN=Tter_1939 PE=3 SV=1,458,train
negative,A0A1Y2AE48,A0A1Y2AE48_9FUNG beta-glucosidase OS=Neocallimastix californiae OX=1754190 GN=LY90DRAFT_707801 PE=3 SV=1,787,train
positive,A0A1V6J3K1,A0A1V6J3K1_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin013 OX=1852797 GN=bglB_3 PE=3 SV=1,715,train
negative,A0A6L3K5E3,A0A6L3K5E3_9BACE beta-glucosidase OS=Bacteroides cellulosilyticus OX=246787 GN=bglX PE=3 SV=1,750,train
negative,A0A2W2CGU0,A0A2W2CGU0_9ACTN Beta-glucosidase OS=Micromonospora endophytica OX=515350 GN=C1I93_19995 PE=3 SV=1,457,train
positive,E8MZH4,E8MZH4_ANATU Beta-glucosidase OS=Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1) OX=926569 GN=ANT_24960 PE=3 SV=1,759,train
negative,A0A1F0I4N6,A0A1F0I4N6_9BACE beta-glucosidase OS=Bacteroides sp. HMSC073E02 OX=1739517 GN=HMPREF3015_25820 PE=4 SV=1,786,train
negative,A0A5J6U2B1,A0A5J6U2B1_9ACTN Beta-glucosidase OS=Actinomadura sp. WMMB 499 OX=1219491 GN=F7P10_06320 PE=3 SV=1,470,train
positive,A0A7X7YR58,A0A7X7YR58_9THEM Beta-glucosidase OS=Thermotogaceae bacterium OX=2268206 GN=GX468_03125 PE=3 SV=1,437,train
positive,G4CZU8,G4CZU8_9ACTN Thermostable beta-glucosidase B OS=Cutibacterium avidum ATCC 25577 OX=997355 GN=bglB PE=3 SV=1,745,train
positive,A0A511R2H9,A0A511R2H9_9DEIN Beta-glucosidase OS=Meiothermus hypogaeus NBRC 106114 OX=1227553 GN=MHY01S_16930 PE=3 SV=1,444,train
positive,A0A1V4J0G7,A0A1V4J0G7_9CLOT Thermostable beta-glucosidase B OS=Clostridium oryzae OX=1450648 GN=bglB_1 PE=3 SV=1,688,train
positive,A0A1C6A5D4,A0A1C6A5D4_9BACE Thermostable beta-glucosidase B OS=uncultured Bacteroides sp OX=162156 GN=bglB PE=3 SV=1,738,train
positive,A0A2S2CRT3,A0A2S2CRT3_9PROT Beta-glucosidase OS=Azospirillum thermophilum OX=2202148 GN=DEW08_13935 PE=3 SV=1,450,train
positive,A0A455SJB5,A0A455SJB5_9CHLR beta-glucosidase OS=Thermosporothrix sp. COM3 OX=2490863 GN=KTC_09860 PE=4 SV=1,607,train
positive,A0A4U8QAD6,A0A4U8QAD6_9FIRM Thermostable beta-glucosidase B OS=Robinsoniella peoriensis OX=180332 GN=bglB_3 PE=3 SV=1,770,train
negative,A0A0W8D6W4,A0A0W8D6W4_PHYNI beta-glucosidase OS=Phytophthora nicotianae OX=4792 GN=AM588_10003431 PE=4 SV=1,428,train
positive,A0A7C1XNI1,A0A7C1XNI1_THERO Beta-glucosidase OS=Thermomicrobium roseum OX=500 GN=ENP47_06610 PE=3 SV=1,453,train
positive,A0A7W0K1E8,A0A7W0K1E8_9ACTN Glycoside hydrolase family 1 protein OS=Thermoleophilaceae bacterium OX=2732252 GN=H0T69_08725 PE=3 SV=1,511,train
negative,A0A0F0IBM2,A0A0F0IBM2_ASPPU beta-glucosidase OS=Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1) OX=1403190 GN=P875_00033740 PE=3 SV=1,764,train
negative,A3XJ58,A3XJ58_LEEBM beta-glucosidase OS=Leeuwenhoekiella blandensis (strain CECT 7118 / CCUG 51940 / KCTC 22103 / MED217) OX=398720 GN=MED217_05282 PE=4 SV=1,675,train
positive,G2QSH6,G2QSH6_THETT beta-glucosidase OS=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_2108759 PE=3 SV=1,692,train
positive,A0A7U9XPF4,A0A7U9XPF4_9FIRM Thermostable beta-glucosidase B OS=Lachnospiraceae bacterium OX=1898203 GN=bglB_4 PE=3 SV=1,767,train
negative,A0A428NMW1,A0A428NMW1_9HYPO beta-glucosidase OS=Fusarium duplospermum OX=1325734 GN=CEP54_015592 PE=3 SV=1,348,train
positive,A0A1J5P3E7,A0A1J5P3E7_9ZZZZ Thermostable beta-glucosidase B OS=mine drainage metagenome OX=410659 GN=bglB_5 PE=3 SV=1,267,train
negative,A1CDU4,A1CDU4_ASPCL Probable beta-glucosidase L OS=Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107) OX=344612 GN=ACLA_007810 PE=3 SV=1,360,train
positive,A0A326U768,A0A326U768_THEHA beta-glucosidase OS=Thermosporothrix hazakensis OX=644383 GN=EI42_03225 PE=4 SV=1,783,train
negative,A0A257QV94,A0A257QV94_9PROT Beta-glucosidase OS=Acidocella sp. 20-58-15 OX=1970302 GN=B7Z77_01495 PE=3 SV=1,481,train
negative,X0MEY6,X0MEY6_FUSOX Probable beta-glucosidase G OS=Fusarium oxysporum f. sp. vasinfectum 25433 OX=1089449 GN=FOTG_12773 PE=3 SV=1,775,train
positive,D6YBP8,D6YBP8_THEBD Beta-glucosidase OS=Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51) OX=469371 GN=Tbis_1896 PE=3 SV=1,439,train
positive,A0A7V3ZJW4,A0A7V3ZJW4_DICTH beta-glucosidase OS=Dictyoglomus thermophilum OX=14 GN=ENU78_07545 PE=4 SV=1,762,train
negative,A0A418N374,A0A418N374_9FLAO beta-glucosidase OS=Flagellimonas aequoris OX=2306997 GN=bglX PE=3 SV=1,755,train
negative,A0A317DKB2,A0A317DKB2_9ACTN beta-glucosidase OS=Micromonospora sp. 4G51 OX=2202420 GN=DKT69_12255 PE=3 SV=1,611,train
negative,A0A0Q6AK42,A0A0Q6AK42_9SPHN beta-glucosidase OS=Sphingomonas sp. Leaf407 OX=1736369 GN=ASG37_05310 PE=4 SV=1,799,train
negative,A0A371JP60,A0A371JP60_9FLAO beta-glucosidase OS=Flagellimonas nanhaiensis OX=2292706 GN=DX873_07960 PE=3 SV=1,758,train
positive,A0A5J4KCW8,A0A5J4KCW8_9CHLR Beta-glucosidase OS=Thermogemmatispora aurantia OX=2045279 GN=KTAU_38900 PE=3 SV=1,473,train
negative,A0A0C9TT37,A0A0C9TT37_SPHS4 beta-glucosidase OS=Sphaerobolus stellatus (strain SS14) OX=990650 GN=M422DRAFT_61478 PE=3 SV=1,731,train
negative,F1BWY2,F1BWY2_GOSHI beta-glucosidase OS=Gossypium hirsutum OX=3635 GN=BG PE=4 SV=1,627,train
positive,A0A7V2AZ41,A0A7V2AZ41_RHOMR beta-glucosidase OS=Rhodothermus marinus OX=29549 GN=ENO59_02140 PE=3 SV=1,792,train
positive,A0A564W4W8,A0A564W4W8_9FIRM Thermostable beta-glucosidase B OS=Blautia luti OX=89014 GN=bglB_1 PE=3 SV=1,688,train
positive,A0A245ZMR4,A0A245ZMR4_9SPHN Thermostable beta-glucosidase B OS=Sphingomonas dokdonensis OX=344880 GN=bglB PE=3 SV=1,746,train
positive,A0A6S7BAL4,A0A6S7BAL4_9BURK Thermostable beta-glucosidase B OS=Pararobbsia alpina OX=621374 GN=bglB_2 PE=3 SV=1,780,train
positive,A0A5M8P3P5,A0A5M8P3P5_9BACT Thermostable beta-glucosidase B OS=Candidatus Ordinivivax streblomastigis OX=2540710 GN=EZS26_000841 PE=3 SV=1,763,train
negative,A0A1C4X1S4,A0A1C4X1S4_9ACTN Beta-glucosidase OS=Micromonospora carbonacea OX=47853 GN=GA0070563_104172 PE=3 SV=1,499,train
positive,R7RMQ6,R7RMQ6_9CLOT Beta-glucosidase OS=Thermobrachium celere DSM 8682 OX=941824 GN=TCEL_01376 PE=3 SV=1,746,train
negative,A0A6G3TIY7,A0A6G3TIY7_9ACTN Beta-glucosidase OS=Streptomyces rubrogriseus OX=194673 GN=G3I66_24280 PE=3 SV=1,479,train
positive,A0A448VV22,A0A448VV22_9ACTN Thermostable beta-glucosidase B OS=Arachnia propionica OX=1750 GN=bglB PE=3 SV=1,753,train
negative,A0A486NFC6,A0A486NFC6_KLEPN beta-glucosidase OS=Klebsiella pneumoniae OX=573 GN=bglX PE=3 SV=1,765,train
negative,A0A174L8A8,A0A174L8A8_BACUN Beta-glucosidase OS=Bacteroides uniformis OX=820 GN=bglB_2 PE=3 SV=1,737,train
negative,A0A0N9V1P3,A0A0N9V1P3_SPHMC beta-glucosidase OS=Sphingopyxis macrogoltabida OX=33050 GN=AN936_14710 PE=3 SV=1,741,train
positive,A0A1H6CEX2,A0A1H6CEX2_9ACTN Beta-glucosidase OS=Thermomonospora echinospora OX=1992 GN=SAMN04489712_109218 PE=3 SV=1,451,train
positive,A0A5J4K526,A0A5J4K526_9CHLR Beta-glucosidase OS=Thermogemmatispora aurantia OX=2045279 GN=KTAU_04890 PE=3 SV=1,462,train
positive,A0A1V5N5K0,A0A1V5N5K0_9BACT Thermostable beta-glucosidase B OS=Planctomycetes bacterium ADurb.Bin401 OX=1852904 GN=bglB PE=3 SV=1,709,train
negative,W7TCZ5,W7TCZ5_KUTS7 Beta-glucosidase OS=Kutzneria sp. (strain 744) OX=345341 GN=KUTG_08270 PE=3 SV=1,466,train
positive,A0A485CQV2,A0A485CQV2_RAOPL Thermostable beta-glucosidase B OS=Raoultella planticola OX=575 GN=bglB PE=3 SV=1,648,train
positive,H6MTQ7,H6MTQ7_GORPV Thermostable beta-glucosidase B OS=Gordonia polyisoprenivorans (strain DSM 44266 / VH2) OX=1112204 GN=bglB PE=3 SV=1,755,train
positive,A0A1C5SS34,A0A1C5SS34_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB PE=3 SV=1,756,train
negative,A0A1G7YNI8,A0A1G7YNI8_9FLAO beta-glucosidase OS=Winogradskyella thalassocola OX=262004 GN=SAMN04489796_1011087 PE=3 SV=1,780,train
negative,A0A7H4NKW8,A0A7H4NKW8_9ENTR Beta-glucosidase OS=Klebsiella michiganensis OX=1134687 GN=bglB_4 PE=3 SV=1,588,train
positive,A0A644ZND2,A0A644ZND2_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_9 PE=3 SV=1,404,train
positive,A0A2N9JH15,A0A2N9JH15_9ACTN Thermostable beta-glucosidase B OS=Micropruina glycogenica OX=75385 GN=bglB PE=3 SV=1,757,train
positive,A0A2M9NHP0,A0A2M9NHP0_9BACL Thermostable beta-glucosidase B OS=Paenibacillus sp. GM1FR OX=2059267 GN=bglB_1 PE=3 SV=1,763,train
positive,A0A858Q8B7,A0A858Q8B7_9GAMM Beta-glucosidase OS=Methylococcus geothermalis OX=2681310 GN=GNH96_08760 PE=3 SV=1,450,train
positive,A0A2R8CGQ2,A0A2R8CGQ2_9GAMM Thermostable beta-glucosidase B OS=Kushneria phyllosphaerae OX=2100822 GN=bglB_1 PE=3 SV=1,753,train
negative,A0A1L9MVR9,A0A1L9MVR9_ASPTC beta-glucosidase OS=Aspergillus tubingensis (strain CBS 134.48) OX=767770 GN=ASPTUDRAFT_935512 PE=3 SV=1,757,train
positive,A0A446BNG1,A0A446BNG1_9PEZI beta-glucosidase OS=Thermothielavioides terrestris OX=2587410 GN=TT172_LOCUS6470 PE=3 SV=1,736,train
negative,A0A0D6R0L4,A0A0D6R0L4_ARACU beta-glucosidase OS=Araucaria cunninghamii OX=56994 PE=3 SV=1,664,train
positive,A0A455T3M4,A0A455T3M4_9CHLR Beta-glucosidase OS=Thermogemmatispora argillosa OX=2045280 GN=KTA_34220 PE=3 SV=1,462,train
negative,A0A438N291,A0A438N291_EXOME Probable beta-glucosidase G OS=Exophiala mesophila OX=212818 GN=B0A52_05685 PE=3 SV=1,797,train
positive,A0A378WQD4,A0A378WQD4_9NOCA Thermostable beta-glucosidase B OS=Nocardia africana OX=134964 GN=bglB_2 PE=3 SV=1,427,train
positive,A0A3G1A4L3,A0A3G1A4L3_9CREN Beta-galactosidase / Beta-glucosidase / Beta-fucosidase OS=Thermofilum adornatum 1505 OX=697581 GN=TCARB_0424 PE=3 SV=1,519,train
negative,A0A2S5KCV9,A0A2S5KCV9_9GAMM beta-glucosidase OS=Pantoea sp. ICBG 1758 OX=2071682 GN=C1Y41_01840 PE=3 SV=1,765,train
positive,A0A143HR17,A0A143HR17_9GAMM beta-glucosidase OS=Microbulbifer thermotolerans OX=252514 GN=A3224_10605 PE=4 SV=1,762,train
positive,A0A3D6D929,A0A3D6D929_9BACT Beta-galactosidase OS=Thermotogota bacterium OX=2053689 GN=DHV12_01755 PE=3 SV=1,496,train
positive,A0A662G489,A0A662G489_9CREN beta-glucosidase (Fragment) OS=Thermoprotei archaeon OX=2250277 GN=DRJ45_09540 PE=3 SV=1,679,train
negative,A0A2T7DD40,A0A2T7DD40_9POAL Beta-glucosidase OS=Panicum hallii var. hallii OX=1504633 GN=GQ55_5G056900 PE=3 SV=1,616,train
negative,A0A1E7L2X1,A0A1E7L2X1_9ACTN Beta-glucosidase OS=Streptomyces nanshensis OX=518642 GN=AN218_17780 PE=3 SV=1,462,train
negative,A0A1X7I788,A0A1X7I788_9BACT beta-glucosidase OS=Marivirga sericea OX=1028 GN=SAMN05661096_00254 PE=3 SV=1,762,train
negative,A0A364Y3F1,A0A364Y3F1_9BACT beta-glucosidase OS=Pseudochryseolinea flava OX=2059302 GN=DQQ10_13890 PE=3 SV=1,741,train
negative,A0A6N9UHZ8,A0A6N9UHZ8_9ACTN beta-glucosidase (Fragment) OS=Streptomyces coelicoflavus OX=285562 GN=G3I46_04515 PE=4 SV=1,462,train
positive,A0A2P4UGB2,A0A2P4UGB2_9ACTN Thermostable beta-glucosidase B OS=Actinomadura rubteroloni OX=1926885 GN=bglB PE=3 SV=1,709,train
positive,A0A2S5T4X3,A0A2S5T4X3_9BURK Beta-glucosidase OS=Caldimonas thermodepolymerans OX=215580 GN=C1702_09310 PE=3 SV=1,455,train
negative,A0A2I7SJZ9,A0A2I7SJZ9_9FLAO beta-glucosidase OS=Tamlana carrageenivorans OX=2069432 GN=C1A40_12525 PE=4 SV=1,744,train
negative,A0A374NYA6,A0A374NYA6_9FIRM Beta-glucosidase OS=Hungatella hathewayi OX=154046 GN=DXD79_29050 PE=3 SV=1,452,train
negative,A0A652K948,A0A652K948_9ACTN Beta-glucosidase OS=Streptomyces sp. ms191 OX=1827978 GN=EAO71_33110 PE=3 SV=1,480,train
negative,A0A4Y9SI63,A0A4Y9SI63_9BURK Beta-glucosidase OS=Massilia arenosa OX=2561931 GN=E4L96_10405 PE=3 SV=1,456,train
positive,D0MHL4,D0MHL4_RHOM4 beta-glucosidase OS=Rhodothermus marinus (strain ATCC 43812 / DSM 4252 / R-10) OX=518766 GN=Rmar_1080 PE=3 SV=1,792,train
negative,A0A7C6PNG3,A0A7C6PNG3_UNCFI Beta-glucosidase OS=Bacillota bacterium OX=1879010 GN=GXX55_02285 PE=3 SV=1,483,train
negative,R3WQV4,R3WQV4_9ENTE beta-glucosidase OS=Enterococcus caccae ATCC BAA-1240 OX=1158612 GN=UC7_02264 PE=3 SV=1,715,train
negative,A0A519Y4Q7,A0A519Y4Q7_9SPHI beta-glucosidase OS=Pedobacter sp OX=1411316 GN=EOO98_06150 PE=3 SV=1,568,train
positive,A0A1M5R7L9,A0A1M5R7L9_9BACT Beta-glucosidase OS=Thermosipho atlanticus DSM 15807 OX=1123380 GN=SAMN02745199_0378 PE=3 SV=1,439,train
positive,A0A0F0LB94,A0A0F0LB94_9MICO Thermostable beta-glucosidase B OS=Microbacterium azadirachtae OX=582680 GN=bglB_1 PE=3 SV=1,787,train
